,title
0,My service
2,Ridiculously overpriced
16,Worst ever new system setup
18,Lo máximo
19,Idioma
24,The worst mobile coverage
28,Hola
51,Health
89,Latino
95,Nice
98,Rapidez
101,Bad service
108,TOO MANY SERVICE OUTAGES
110,Imposible
115,Mal servicio
116,Amazing!
135,Price increased
137,Basura
141,Customer service mobile phones
159,Excelente
164,EXCELENTE
193,Fechas de pago
196,Efectividad de pago
197,Idioma Español
202,Keeps logging me out
208,Apple service for a payment made to Spectrum.com
213,Un perfecto servicio se los recomiendo
224,App failure to function
225,Servicio spectrum
234,Se cae muy constantemente el internet
245,I’m just going home
254,Payment website
281,No I’m going anywhere I just
282,For the new year to
283,For me to get a
291,"Removed My Review, Terrible for Updates"
301,También contamos
308,Cannot sign into app
309,I’m not going home because
312,I’m not going anywhere else
314,So Secure I Can’t Even View My Statement
319,App doesn't work after last update
327,Watch for deceiving reps.
337,Fácil para ubicar la Información
340,Have a fun time at
349,Lost Services
353,评价
358,I
363,Excelente
367,Job to get back in touch
371,So
382,Muy bueno
398,10/10
407,Muy buena  la aplicación me facilita mucho mis pagos y preguntas
411,Never let you log in
440,Account is messed up
